Model ObjFun Gradient Depletion Neigen PDH
m1_s10_a050_h65 -838059.98 0.00229 0.431 3
m1_s10_a050_h80 -838060.01 0.00018 0.468 3
m1_s10_a050_h95 -838060.02 0.00414 0.492 2
m1_s10_a075_h65 -837227.54 0.01139 0.430 4
m1_s10_a075_h80 -837227.56 0.01899 0.467 4
m1_s10_a075_h95 -837227.58 0.00139 0.491 4
m1_s10_a100_h65 -836390.85 0.00095 0.440 0 Yes
m1_s10_a100_h80 -836390.87 0.00016 0.476 0 Yes
m1_s10_a100_h95 -836390.89 0.00637 0.500 0 Yes
m1_s20_a050_h65 -747997.99 0.00398 0.455 3
m1_s20_a050_h80 -747998.01 0.00051 0.495 3
m1_s20_a050_h95 -747998.02 0.00034 0.521 3
m1_s20_a075_h65 -747182.59 0.00722 0.462 4
m1_s20_a075_h80 -747182.61 0.00077 0.501 4
m1_s20_a075_h95 -747182.62 0.00242 0.528 5
m1_s20_a100_h65 -746365.46 0.00184 0.464 3
m1_s20_a100_h80 -746365.49 0.00291 0.504 2
m1_s20_a100_h95 -746365.50 0.00804 0.530 2
m1_s40_a050_h65 -650118.01 0.00015 0.435 0 Yes
m1_s40_a050_h80 -650118.04 0.00540 0.478 0 Yes
m1_s40_a050_h95 -650118.05 0.00010 0.507 0 Yes
m1_s40_a075_h65 -649312.61 0.00044 0.470 3
m1_s40_a075_h80 -649312.63 0.00329 0.511 1
m1_s40_a075_h95 -649312.65 0.00181 0.539 3
m1_s40_a100_h65 -648510.68 0.00398 0.447 3
m1_s40_a100_h80 -648510.69 0.00235 0.490 1
m1_s40_a100_h95 -648510.71 0.00018 0.518 2
m2_s10_a050_h65 -839609.44 0.00024 0.396 3
m2_s10_a050_h80 -839609.46 0.00691 0.434 4
m2_s10_a050_h95 -839609.49 0.00025 0.460 3
m2_s10_a075_h65 -838777.79 0.00058 0.383 3
m2_s10_a075_h80 -838777.83 0.00534 0.422 3
m2_s10_a075_h95 -838777.85 0.00033 0.448 3
m2_s10_a100_h65 -837950.60 0.00546 0.383 4
m2_s10_a100_h80 -837950.64 0.00170 0.422 4
m2_s10_a100_h95 -837950.66 0.00231 0.448 3
m2_s20_a050_h65 -749472.93 0.00455 0.412 1
m2_s20_a050_h80 -749472.97 0.00109 0.454 1
m2_s20_a050_h95 -749472.98 0.00356 0.482 1
m2_s20_a075_h65 -748647.13 0.00236 0.417 1
m2_s20_a075_h80 -748647.17 0.00034 0.459 1
m2_s20_a075_h95 -748647.18 0.00147 0.487 1
m2_s20_a100_h65 -747819.87 0.00204 0.423 1
m2_s20_a100_h80 -747819.90 0.01627 0.464 1
m2_s20_a100_h95 -747819.92 0.00417 0.492 1
m2_s40_a050_h65 -651492.37 0.00078 0.426 0 Yes
m2_s40_a050_h80 -651492.41 0.00089 0.471 0 Yes
m2_s40_a050_h95 -651492.42 0.00748 0.501 0 Yes
m2_s40_a075_h65 -650675.52 0.00025 0.440 3
m2_s40_a075_h80 -650675.55 0.00049 0.484 3
m2_s40_a075_h95 -650675.56 0.00081 0.513 2
m2_s40_a100_h65 -649867.26 0.00464 0.443 3
m2_s40_a100_h80 -649867.29 0.00061 0.487 3
m2_s40_a100_h95 -649867.30 0.00279 0.516 3
